date,segment,visitors
2022-02-01,Desktop Traffic,10195
2022-02-02,Desktop Traffic,10560
2022-02-03,Desktop Traffic,9935
2022-02-04,Desktop Traffic,8501
2022-02-05,Desktop Traffic,5424
2022-02-06,Desktop Traffic,5971
2022-02-07,Desktop Traffic,9491
2022-02-08,Desktop Traffic,11551
2022-02-09,Desktop Traffic,10404
2022-02-10,Desktop Traffic,9778
2022-02-11,Desktop Traffic,9804
2022-02-12,Desktop Traffic,6154
2022-02-13,Desktop Traffic,7092
2022-02-14,Desktop Traffic,7197
2022-02-15,Desktop Traffic,7588
2022-02-16,Desktop Traffic,8866
2022-02-17,Desktop Traffic,7145
2022-02-18,Desktop Traffic,6388
2022-02-19,Desktop Traffic,4120
2022-02-20,Desktop Traffic,3755
2022-02-21,Desktop Traffic,5424
2022-02-22,Desktop Traffic,6545
2022-02-23,Desktop Traffic,6962
2022-02-24,Desktop Traffic,5606
2022-02-25,Desktop Traffic,5554
2022-02-26,Desktop Traffic,4016
2022-02-27,Desktop Traffic,4563
2022-02-28,Desktop Traffic,5476
2022-03-01,Desktop Traffic,5371
2022-03-02,Desktop Traffic,5710
2022-03-03,Desktop Traffic,5710
2022-03-04,Desktop Traffic,5033
2022-03-05,Desktop Traffic,3859
2022-03-06,Desktop Traffic,4120
2022-03-07,Desktop Traffic,6049
2022-03-08,Desktop Traffic,5398
2022-03-09,Desktop Traffic,5763
2022-03-10,Desktop Traffic,5606
2022-03-11,Desktop Traffic,5293
2022-03-12,Desktop Traffic,4094
2022-03-13,Desktop Traffic,7379
2022-03-14,Desktop Traffic,11212
2022-03-15,Desktop Traffic,14628
2022-03-16,Desktop Traffic,9570
2022-03-17,Desktop Traffic,8840
2022-03-18,Desktop Traffic,7979
2022-03-19,Desktop Traffic,7275
2022-03-20,Desktop Traffic,8709
2022-03-21,Desktop Traffic,12177
2022-03-22,Desktop Traffic,12386
2022-03-23,Desktop Traffic,11760
2022-03-24,Desktop Traffic,11890
2022-03-25,Desktop Traffic,11499
2022-03-26,Desktop Traffic,8318
2022-03-27,Desktop Traffic,17418
2022-03-28,Desktop Traffic,28370
2022-03-29,Desktop Traffic,27953
2022-03-30,Desktop Traffic,27822
2022-03-31,Desktop Traffic,24198
2022-04-01,Desktop Traffic,29726
2022-04-02,Desktop Traffic,38200
2022-04-03,Desktop Traffic,480592
2022-04-04,Desktop Traffic,229697
2022-04-05,Desktop Traffic,69829
2022-04-06,Desktop Traffic,40521
2022-04-07,Desktop Traffic,31264
2022-04-08,Desktop Traffic,24198
2022-04-09,Desktop Traffic,16949
2022-04-10,Desktop Traffic,15880
2022-04-11,Desktop Traffic,18305
2022-04-12,Desktop Traffic,14133
2022-04-13,Desktop Traffic,13820
2022-04-14,Desktop Traffic,10769
2022-04-15,Desktop Traffic,8631
2022-04-16,Desktop Traffic,7640
2022-04-17,Desktop Traffic,7692
2022-04-18,Desktop Traffic,9361
2022-04-19,Desktop Traffic,10274
2022-04-20,Desktop Traffic,9257
2022-04-21,Desktop Traffic,9074
2022-04-22,Desktop Traffic,8214
2022-04-23,Desktop Traffic,6493
2022-04-24,Desktop Traffic,6649
2022-04-25,Desktop Traffic,8996
2022-04-26,Desktop Traffic,8840
2022-04-27,Desktop Traffic,8631
2022-04-28,Desktop Traffic,8292
2022-04-29,Desktop Traffic,7275
2022-04-30,Desktop Traffic,4980
2022-05-01,Desktop Traffic,5580
2022-05-02,Desktop Traffic,8005
2022-05-03,Desktop Traffic,8344
2022-05-04,Desktop Traffic,8579
2022-05-05,Desktop Traffic,7275
2022-05-06,Desktop Traffic,5867
2022-05-07,Desktop Traffic,4198
2022-05-08,Desktop Traffic,4980
2022-05-09,Desktop Traffic,7796
2022-05-10,Desktop Traffic,8162
2022-05-11,Desktop Traffic,7275
2022-05-12,Desktop Traffic,7014
2022-05-13,Desktop Traffic,6780
2022-05-14,Desktop Traffic,4667
2022-05-15,Desktop Traffic,5163
2022-05-16,Desktop Traffic,7536
2022-05-17,Desktop Traffic,6962
2022-05-18,Desktop Traffic,6910
2022-05-19,Desktop Traffic,7692
2022-05-20,Desktop Traffic,6780
2022-05-21,Desktop Traffic,4042
2022-05-22,Desktop Traffic,5006
2022-05-23,Desktop Traffic,6858
2022-05-24,Desktop Traffic,6415
2022-05-25,Desktop Traffic,6102
2022-05-26,Desktop Traffic,5580
2022-05-27,Desktop Traffic,5424
2022-05-28,Desktop Traffic,3572
2022-05-29,Desktop Traffic,4407
2022-05-30,Desktop Traffic,4798
2022-05-31,Desktop Traffic,5319
2022-06-01,Desktop Traffic,5137
2022-06-02,Desktop Traffic,5059
2022-06-03,Desktop Traffic,5085
2022-06-04,Desktop Traffic,3025
2022-06-05,Desktop Traffic,3911
2022-06-06,Desktop Traffic,5476
2022-06-07,Desktop Traffic,5059
2022-06-08,Desktop Traffic,5424
2022-06-09,Desktop Traffic,7796
2022-06-10,Desktop Traffic,23233
2022-06-11,Desktop Traffic,21669
2022-06-12,Desktop Traffic,5893
2022-06-13,Desktop Traffic,6180
2022-06-14,Desktop Traffic,6519
2022-06-15,Desktop Traffic,6128
2022-06-16,Desktop Traffic,5606
2022-06-17,Desktop Traffic,4459
2022-06-18,Desktop Traffic,3781
2022-06-19,Desktop Traffic,3807
2022-06-20,Desktop Traffic,4798
2022-06-21,Desktop Traffic,4850
2022-06-22,Desktop Traffic,5111
2022-06-23,Desktop Traffic,4694
2022-06-24,Desktop Traffic,3546
2022-06-25,Desktop Traffic,2581
2022-06-26,Desktop Traffic,3207
2022-06-27,Desktop Traffic,4511
2022-06-28,Desktop Traffic,4042
2022-06-29,Desktop Traffic,5502
2022-06-30,Desktop Traffic,4355
2022-07-01,Desktop Traffic,3494
2022-07-02,Desktop Traffic,3051
2022-07-03,Desktop Traffic,3259
2022-07-04,Desktop Traffic,3364
2022-07-05,Desktop Traffic,4589
2022-07-06,Desktop Traffic,4876
2022-07-07,Desktop Traffic,3937
2022-07-08,Desktop Traffic,3833
2022-07-09,Desktop Traffic,2321
2022-07-10,Desktop Traffic,3025
2022-07-11,Desktop Traffic,5163
2022-07-12,Desktop Traffic,5241
2022-07-13,Desktop Traffic,4720
2022-07-14,Desktop Traffic,4902
2022-07-15,Desktop Traffic,7901
2022-07-16,Desktop Traffic,7875
2022-07-17,Desktop Traffic,3494
2022-07-18,Desktop Traffic,3390
2022-07-19,Desktop Traffic,2973
2022-07-20,Desktop Traffic,3051
2022-07-21,Desktop Traffic,3651
2022-07-22,Desktop Traffic,4746
2022-07-23,Desktop Traffic,3598
2022-07-24,Desktop Traffic,3312
2022-07-25,Desktop Traffic,4433
2022-07-26,Desktop Traffic,4276
2022-07-27,Desktop Traffic,4798
2022-07-28,Desktop Traffic,5137
2022-07-29,Desktop Traffic,4094
2022-07-30,Desktop Traffic,3025
2022-07-31,Desktop Traffic,3077
2022-08-01,Desktop Traffic,4042
2022-08-02,Desktop Traffic,4328
2022-08-03,Desktop Traffic,4615
2022-08-04,Desktop Traffic,4746
2022-08-05,Desktop Traffic,4328
2022-08-06,Desktop Traffic,3285
2022-08-07,Desktop Traffic,3494
2022-08-08,Desktop Traffic,5606
2022-08-09,Desktop Traffic,5345
2022-08-10,Desktop Traffic,4772
2022-08-11,Desktop Traffic,4902
2022-08-12,Desktop Traffic,4772
2022-08-13,Desktop Traffic,4120
2022-08-14,Desktop Traffic,2790
2022-08-15,Desktop Traffic,5059
2022-08-16,Desktop Traffic,5059
2022-08-17,Desktop Traffic,5424
2022-08-18,Desktop Traffic,4954
2022-08-19,Desktop Traffic,4381
2022-08-20,Desktop Traffic,3364
2022-08-21,Desktop Traffic,3729
2022-08-22,Desktop Traffic,5163
2022-08-23,Desktop Traffic,5476
2022-08-24,Desktop Traffic,6258
2022-08-25,Desktop Traffic,6362
