date,segment,visitors
2022-02-01,Mobile Traffic,23494
2022-02-02,Mobile Traffic,20234
2022-02-03,Mobile Traffic,22816
2022-02-04,Mobile Traffic,18592
2022-02-05,Mobile Traffic,13298
2022-02-06,Mobile Traffic,12959
2022-02-07,Mobile Traffic,11004
2022-02-08,Mobile Traffic,19791
2022-02-09,Mobile Traffic,16036
2022-02-10,Mobile Traffic,14237
2022-02-11,Mobile Traffic,14420
2022-02-12,Mobile Traffic,14472
2022-02-13,Mobile Traffic,15880
2022-02-14,Mobile Traffic,9830
2022-02-15,Mobile Traffic,10143
2022-02-16,Mobile Traffic,11656
2022-02-17,Mobile Traffic,11473
2022-02-18,Mobile Traffic,8787
2022-02-19,Mobile Traffic,9231
2022-02-20,Mobile Traffic,10352
2022-02-21,Mobile Traffic,8474
2022-02-22,Mobile Traffic,9648
2022-02-23,Mobile Traffic,9987
2022-02-24,Mobile Traffic,8527
2022-02-25,Mobile Traffic,14133
2022-02-26,Mobile Traffic,11603
2022-02-27,Mobile Traffic,9622
2022-02-28,Mobile Traffic,9309
2022-03-01,Mobile Traffic,7405
2022-03-02,Mobile Traffic,8214
2022-03-03,Mobile Traffic,9544
2022-03-04,Mobile Traffic,11395
2022-03-05,Mobile Traffic,10508
2022-03-06,Mobile Traffic,9856
2022-03-07,Mobile Traffic,9674
2022-03-08,Mobile Traffic,9596
2022-03-09,Mobile Traffic,8840
2022-03-10,Mobile Traffic,9752
2022-03-11,Mobile Traffic,9622
2022-03-12,Mobile Traffic,10352
2022-03-13,Mobile Traffic,11682
2022-03-14,Mobile Traffic,15254
2022-03-15,Mobile Traffic,35384
2022-03-16,Mobile Traffic,18148
2022-03-17,Mobile Traffic,15384
2022-03-18,Mobile Traffic,17653
2022-03-19,Mobile Traffic,25032
2022-03-20,Mobile Traffic,25606
2022-03-21,Mobile Traffic,20521
2022-03-22,Mobile Traffic,26180
2022-03-23,Mobile Traffic,24015
2022-03-24,Mobile Traffic,22451
2022-03-25,Mobile Traffic,24719
2022-03-26,Mobile Traffic,32385
2022-03-27,Mobile Traffic,68004
2022-03-28,Mobile Traffic,71863
2022-03-29,Mobile Traffic,67039
2022-03-30,Mobile Traffic,73819
2022-03-31,Mobile Traffic,59712
2022-04-01,Mobile Traffic,83754
2022-04-02,Mobile Traffic,187481
2022-04-03,Mobile Traffic,1807978
2022-04-04,Mobile Traffic,588518
2022-04-05,Mobile Traffic,158172
2022-04-06,Mobile Traffic,89308
2022-04-07,Mobile Traffic,68552
2022-04-08,Mobile Traffic,59113
2022-04-09,Mobile Traffic,52307
2022-04-10,Mobile Traffic,43050
2022-04-11,Mobile Traffic,30821
2022-04-12,Mobile Traffic,27118
2022-04-13,Mobile Traffic,23259
2022-04-14,Mobile Traffic,21929
2022-04-15,Mobile Traffic,20730
2022-04-16,Mobile Traffic,20365
2022-04-17,Mobile Traffic,20417
2022-04-18,Mobile Traffic,17705
2022-04-19,Mobile Traffic,15567
2022-04-20,Mobile Traffic,14628
2022-04-21,Mobile Traffic,17992
2022-04-22,Mobile Traffic,17966
2022-04-23,Mobile Traffic,16427
2022-04-24,Mobile Traffic,15932
2022-04-25,Mobile Traffic,13090
2022-04-26,Mobile Traffic,12933
2022-04-27,Mobile Traffic,11682
2022-04-28,Mobile Traffic,13481
2022-04-29,Mobile Traffic,13220
2022-04-30,Mobile Traffic,14081
2022-05-01,Mobile Traffic,13272
2022-05-02,Mobile Traffic,12125
2022-05-03,Mobile Traffic,11734
2022-05-04,Mobile Traffic,11291
2022-05-05,Mobile Traffic,10117
2022-05-06,Mobile Traffic,11838
2022-05-07,Mobile Traffic,11969
2022-05-08,Mobile Traffic,12360
2022-05-09,Mobile Traffic,9778
2022-05-10,Mobile Traffic,8709
2022-05-11,Mobile Traffic,9517
2022-05-12,Mobile Traffic,10899
2022-05-13,Mobile Traffic,11447
2022-05-14,Mobile Traffic,13116
2022-05-15,Mobile Traffic,12959
2022-05-16,Mobile Traffic,10430
2022-05-17,Mobile Traffic,9439
2022-05-18,Mobile Traffic,8631
2022-05-19,Mobile Traffic,11734
2022-05-20,Mobile Traffic,10717
2022-05-21,Mobile Traffic,11525
2022-05-22,Mobile Traffic,12151
2022-05-23,Mobile Traffic,9544
2022-05-24,Mobile Traffic,9987
2022-05-25,Mobile Traffic,9335
2022-05-26,Mobile Traffic,9961
2022-05-27,Mobile Traffic,13324
2022-05-28,Mobile Traffic,9752
2022-05-29,Mobile Traffic,8970
2022-05-30,Mobile Traffic,9726
2022-05-31,Mobile Traffic,8501
2022-06-01,Mobile Traffic,9048
2022-06-02,Mobile Traffic,9152
2022-06-03,Mobile Traffic,8396
2022-06-04,Mobile Traffic,9205
2022-06-05,Mobile Traffic,9126
2022-06-06,Mobile Traffic,7327
2022-06-07,Mobile Traffic,7197
2022-06-08,Mobile Traffic,12829
2022-06-09,Mobile Traffic,19661
2022-06-10,Mobile Traffic,23155
2022-06-11,Mobile Traffic,16297
2022-06-12,Mobile Traffic,12360
2022-06-13,Mobile Traffic,9804
2022-06-14,Mobile Traffic,11395
2022-06-15,Mobile Traffic,8944
2022-06-16,Mobile Traffic,11395
2022-06-17,Mobile Traffic,12047
2022-06-18,Mobile Traffic,9700
2022-06-19,Mobile Traffic,9752
2022-06-20,Mobile Traffic,9961
2022-06-21,Mobile Traffic,8579
2022-06-22,Mobile Traffic,8553
2022-06-23,Mobile Traffic,8162
2022-06-24,Mobile Traffic,7249
2022-06-25,Mobile Traffic,7823
2022-06-26,Mobile Traffic,8474
2022-06-27,Mobile Traffic,7536
2022-06-28,Mobile Traffic,7588
2022-06-29,Mobile Traffic,21538
2022-06-30,Mobile Traffic,12255
2022-07-01,Mobile Traffic,9596
2022-07-02,Mobile Traffic,12047
2022-07-03,Mobile Traffic,10560
2022-07-04,Mobile Traffic,9674
2022-07-05,Mobile Traffic,12125
2022-07-06,Mobile Traffic,10430
2022-07-07,Mobile Traffic,10717
2022-07-08,Mobile Traffic,9700
2022-07-09,Mobile Traffic,8944
2022-07-10,Mobile Traffic,8057
2022-07-11,Mobile Traffic,9674
2022-07-12,Mobile Traffic,11056
2022-07-13,Mobile Traffic,9778
2022-07-14,Mobile Traffic,10378
2022-07-15,Mobile Traffic,14498
2022-07-16,Mobile Traffic,12725
2022-07-17,Mobile Traffic,12542
2022-07-18,Mobile Traffic,8709
2022-07-19,Mobile Traffic,4407
2022-07-20,Mobile Traffic,4537
2022-07-21,Mobile Traffic,6884
2022-07-22,Mobile Traffic,8918
2022-07-23,Mobile Traffic,8918
2022-07-24,Mobile Traffic,8396
2022-07-25,Mobile Traffic,7249
2022-07-26,Mobile Traffic,8266
2022-07-27,Mobile Traffic,16792
2022-07-28,Mobile Traffic,14628
2022-07-29,Mobile Traffic,8944
2022-07-30,Mobile Traffic,8996
2022-07-31,Mobile Traffic,9335
2022-08-01,Mobile Traffic,8344
2022-08-02,Mobile Traffic,8813
2022-08-03,Mobile Traffic,8344
2022-08-04,Mobile Traffic,8787
2022-08-05,Mobile Traffic,8787
2022-08-06,Mobile Traffic,9387
2022-08-07,Mobile Traffic,10795
2022-08-08,Mobile Traffic,10274
2022-08-09,Mobile Traffic,10639
2022-08-10,Mobile Traffic,7718
2022-08-11,Mobile Traffic,8448
2022-08-12,Mobile Traffic,12386
2022-08-13,Mobile Traffic,11343
2022-08-14,Mobile Traffic,10717
2022-08-15,Mobile Traffic,14367
2022-08-16,Mobile Traffic,10143
2022-08-17,Mobile Traffic,9387
2022-08-18,Mobile Traffic,9596
2022-08-19,Mobile Traffic,10926
2022-08-20,Mobile Traffic,10352
2022-08-21,Mobile Traffic,9152
2022-08-22,Mobile Traffic,9178
2022-08-23,Mobile Traffic,8709
2022-08-24,Mobile Traffic,17496
2022-08-25,Mobile Traffic,13950
2022-08-26,Mobile Traffic,13507
2022-08-27,Mobile Traffic,13012
2022-08-28,Mobile Traffic,14733
2022-08-29,Mobile Traffic,12803
2022-08-30,Mobile Traffic,10952
2022-08-31,Mobile Traffic,10065
2022-09-01,Mobile Traffic,9465
2022-09-02,Mobile Traffic,9648
2022-09-03,Mobile Traffic,10039
2022-09-04,Mobile Traffic,12099
2022-09-05,Mobile Traffic,10873
2022-09-06,Mobile Traffic,8344
2022-09-07,Mobile Traffic,8866
2022-09-08,Mobile Traffic,8109
2022-09-09,Mobile Traffic,8840
2022-09-10,Mobile Traffic,10013
2022-09-11,Mobile Traffic,8735
2022-09-12,Mobile Traffic,10117
2022-09-13,Mobile Traffic,10952
2022-09-14,Mobile Traffic,8553
2022-09-15,Mobile Traffic,9883
2022-09-16,Mobile Traffic,9622
2022-09-17,Mobile Traffic,9726
2022-09-18,Mobile Traffic,9178
2022-09-19,Mobile Traffic,10039
2022-09-20,Mobile Traffic,20912
2022-09-21,Mobile Traffic,17027
2022-09-22,Mobile Traffic,11395
2022-09-23,Mobile Traffic,10613
2022-09-24,Mobile Traffic,15489
2022-09-25,Mobile Traffic,18461
2022-09-26,Mobile Traffic,16610
2022-09-27,Mobile Traffic,14185
2022-09-28,Mobile Traffic,10899
2022-09-29,Mobile Traffic,10691
2022-09-30,Mobile Traffic,10039
2022-10-01,Mobile Traffic,10117
2022-10-02,Mobile Traffic,11812
2022-10-03,Mobile Traffic,8918
2022-10-04,Mobile Traffic,10065
2022-10-05,Mobile Traffic,10795
2022-10-06,Mobile Traffic,18148
2022-10-07,Mobile Traffic,14628
