date,visitors,pageviews,sessions,bounced_sessions,avg_session_duration_secs,awards_week,awards_night
2022-02-01,928,2856,1092,591,148,0,0
2022-02-02,1329,3233,1490,923,90,0,0
2022-02-03,1138,3340,1322,754,127,0,0
2022-02-04,811,2552,963,534,142,0,0
2022-02-05,541,1530,602,326,111,0,0
2022-02-06,536,1669,610,339,147,0,0
2022-02-07,921,3512,1117,567,198,0,0
2022-02-08,1106,3662,1296,661,163,0,0
2022-02-09,1181,4209,1382,725,150,0,0
2022-02-10,1134,3473,1341,727,140,0,0
2022-02-11,871,3263,1045,577,183,0,0
2022-02-12,628,1791,726,418,116,0,0
2022-02-13,658,1861,766,443,122,0,0
2022-02-14,1111,4054,1365,687,167,0,0
2022-02-15,1331,4734,1656,849,171,0,0
2022-02-16,1136,3648,1350,722,148,0,0
2022-02-17,1121,3612,1319,711,138,0,0
2022-02-18,1077,3590,1283,742,159,0,0
2022-02-19,726,1954,830,515,128,0,0
2022-02-20,717,1927,828,511,146,0,0
2022-02-21,1071,3469,1278,717,144,0,0
2022-02-22,1498,5491,1842,968,159,0,0
2022-02-23,1584,6208,1937,936,169,0,0
2022-02-24,1367,5040,1697,852,194,0,0
2022-02-25,1513,4637,1818,991,141,0,0
2022-02-26,925,2699,1085,602,129,0,0
2022-02-27,952,3214,1161,565,201,0,0
2022-02-28,1966,8951,2717,1114,237,0,0
2022-03-01,1571,6180,2073,1008,188,0,0
2022-03-02,1052,2885,1207,719,107,0,0
2022-03-03,1012,2752,1194,717,117,0,0
2022-03-04,831,2431,977,582,126,0,0
2022-03-05,579,1409,648,412,89,0,0
2022-03-06,653,1574,719,462,98,0,0
2022-03-07,1015,2878,1175,723,127,0,0
2022-03-08,1493,3662,1703,966,99,0,0
2022-03-09,1111,3393,1293,753,112,0,0
2022-03-10,1000,2796,1160,696,101,0,0
2022-03-11,925,2592,1082,648,116,0,0
2022-03-12,637,1589,722,456,115,0,0
2022-03-13,720,1622,792,492,67,0,0
2022-03-14,1109,2742,1254,765,99,0,0
2022-03-15,1974,4475,2199,1365,73,0,0
2022-03-16,1433,3572,1622,993,93,0,0
2022-03-17,1186,2802,1331,854,85,0,0
2022-03-18,1320,2796,1483,1042,80,0,0
2022-03-19,978,2000,1100,756,69,0,0
2022-03-20,1006,2165,1103,722,72,0,0
2022-03-21,1508,3417,1682,1080,84,0,0
2022-03-22,1701,3735,1894,1230,73,0,0
2022-03-23,1519,3374,1726,1137,91,0,0
2022-03-24,1603,3748,1823,1148,105,0,0
2022-03-25,1387,3329,1586,1042,97,0,0
2022-03-26,1113,2419,1240,840,94,0,0
2022-03-27,2656,4702,2890,2013,55,0,0
2022-03-28,4746,9155,5278,3561,59,0,0
2022-03-29,4532,9373,5008,3251,64,0,0
2022-03-30,3711,8221,4171,2662,77,0,0
2022-03-31,3118,6953,3479,2281,78,0,0
2022-04-01,3918,8155,4309,2829,67,1,0
2022-04-02,6955,12913,7465,5174,54,1,0
2022-04-03,65411,114987,70782,49152,53,1,1
2022-04-04,15241,27645,16523,11763,57,1,0
2022-04-05,5493,10697,6066,4241,69,1,0
2022-04-06,3061,6253,3452,2383,73,1,0
2022-04-07,2281,4857,2560,1694,88,0,0
2022-04-08,1855,3833,2069,1401,76,0,0
2022-04-09,1528,2844,1700,1255,61,0,0
2022-04-10,1165,2336,1308,920,78,0,0
2022-04-11,1481,3440,1695,1110,92,0,0
2022-04-12,1278,3721,1558,954,136,0,0
2022-04-13,1127,2813,1278,790,132,0,0
2022-04-14,1011,2270,1146,769,91,0,0
2022-04-15,812,1781,900,589,82,0,0
2022-04-16,665,1375,753,529,80,0,0
2022-04-17,687,1521,782,530,84,0,0
2022-04-18,1014,2311,1138,737,85,0,0
2022-04-19,1017,2534,1147,729,102,0,0
2022-04-20,916,2232,1072,686,110,0,0
2022-04-21,994,2350,1145,723,92,0,0
2022-04-22,862,2105,988,636,120,0,0
2022-04-23,660,1415,767,533,68,0,0
2022-04-24,663,1368,750,525,80,0,0
2022-04-25,1282,3091,1528,983,97,0,0
2022-04-26,1092,3324,1296,845,112,0,0
2022-04-27,1088,3052,1298,837,98,0,0
2022-04-28,1748,3652,2049,1518,79,0,0
2022-04-29,977,2304,1151,771,81,0,0
2022-04-30,658,1448,741,532,70,0,0
2022-05-01,700,1544,813,580,76,0,0
2022-05-02,878,2311,990,631,100,0,0
2022-05-03,1338,2777,1482,1026,88,0,0
2022-05-04,979,2139,1111,751,90,0,0
2022-05-05,887,2971,1047,652,126,0,0
2022-05-06,818,2363,944,599,121,0,0
2022-05-07,541,1118,607,418,79,0,0
2022-05-08,589,1260,649,464,92,0,0
2022-05-09,908,2244,1026,662,105,0,0
2022-05-10,1066,2661,1234,798,106,0,0
2022-05-11,943,2459,1083,698,107,0,0
2022-05-12,1303,2982,1492,1047,97,0,0
2022-05-13,1100,2713,1246,814,92,0,0
2022-05-14,701,1446,786,550,66,0,0
2022-05-15,715,1538,789,543,96,0,0
2022-05-16,1085,2626,1219,808,98,0,0
2022-05-17,1078,3435,1252,768,129,0,0
2022-05-18,1015,3480,1179,764,147,0,0
2022-05-19,867,1937,985,665,89,0,0
2022-05-20,800,1582,873,607,73,0,0
2022-05-21,590,1074,648,457,56,0,0
2022-05-22,646,1074,697,521,52,0,0
2022-05-23,925,1798,1036,750,66,0,0
2022-05-24,977,1765,1077,797,71,0,0
2022-05-25,928,1646,1037,756,61,0,0
2022-05-26,987,1810,1090,805,75,0,0
2022-05-27,844,1381,920,712,60,0,0
2022-05-28,814,1249,881,728,69,0,0
2022-05-29,552,1098,609,479,63,0,0
2022-05-30,619,1146,683,496,55,0,0
2022-05-31,787,1473,872,625,80,0,0
2022-06-01,1548,2937,1737,1229,63,0,0
2022-06-02,1060,2050,1178,829,76,0,0
2022-06-03,874,1780,968,690,93,0,0
2022-06-04,636,1142,708,530,69,0,0
2022-06-05,673,1275,731,523,86,0,0
2022-06-06,993,1801,1086,784,63,0,0
2022-06-07,1042,2184,1176,829,94,0,0
2022-06-08,1077,2024,1216,884,67,0,0
2022-06-09,1090,1010,513,339,152,0,0
2022-06-10,634,746,96,39,543,0,0
2022-06-11,299,121,19,7,517,0,0
2022-06-12,324,235,21,6,1269,0,0
2022-06-13,497,582,62,14,707,0,0
2022-06-14,742,2931,256,118,272,0,0
2022-06-15,920,4471,824,477,199,0,0
2022-06-16,1397,4204,1627,1114,85,0,0
2022-06-17,1210,2810,1373,986,92,0,0
2022-06-18,970,1707,1074,788,63,0,0
2022-06-19,867,1486,936,705,61,0,0
2022-06-20,1024,2188,1173,819,87,0,0
2022-06-21,1436,3587,1756,1176,98,0,0
2022-06-22,1660,3966,1980,1367,83,0,0
2022-06-23,1331,4801,1635,1117,157,0,0
2022-06-24,895,3035,1108,758,170,0,0
2022-06-25,609,2004,734,515,223,0,0
2022-06-26,598,3180,724,511,276,0,0
2022-06-27,928,2248,1165,765,145,0,0
2022-06-28,1875,4975,2302,1384,139,0,0
2022-06-29,1741,4458,2181,1313,113,0,0
2022-06-30,1470,3707,1796,1101,107,0,0
2022-07-01,1263,3291,1534,918,99,0,0
2022-07-02,790,1953,968,597,79,0,0
